category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Performance,Assume a normal approach and landing with a class B airplane on a dry runway. Which of the following values shows the corresponding screen height?,50 ft,60 ft,100 ft,35 ft,1,,
Performance,Approaching in turbulent wind conditions during manual flight requires:,no change.,a steeper approach path.,an increase in approach speed.,an increase in VREF.,3,,
Performance,"Consider a multi-engine piston airplane performance class B. Both, METAR and TAF indicate that you can expect a wet runway at your destination airport, therefore the landing distance should be multiplied by the following factor:",1.15,1.67,1.3,1.25,1,,
Performance,Consider maximum range speed and speed for maximum angle of climb. How will a headwind affect those speeds? (Assume all other factors remain the same),Maximum range speed increases and speed for maximum angle of climb remains the same.,Maximum range speed decreases and speed for maximum angle of climb increases.,Maximum range speed remains the same and speed for maximum angle of climb remains the same.,Maximum range speed remains the same and speed for maximum angle of climb increases.,1,,
Performance,"A twin-engine piston aeroplane with all engines operating commences take-off and the following information is given:<br><br>Maximum take-off mass: 4750 kg<br>Airport elevation: 500 ft<br>Obstacle elevation: 644 ft<br>Distance from the end of the take-off distance to the obstacle: 2 000 m<br>Temperature: ISA<br>QNH: 1 018 hPa<br>SID: straight departure, no specific climb requirements published<br><br>What is the regulatory minimum vertical clearance between aircraft and obstacle?",175 ft,694 ft,35 ft,50 ft,4,,
Performance,The flight manual of a light twin engine recommends two cruise power settings: 65% and 75%. The 75% power setting in relation to the 65% results in:,"an increase in speed, fuel consumption and fuel-burn/distance.","an increase in speed and fuel-burn/distance, but an unchanged fuel-burn per hour.","same speed and fuel-burn/distance, but an increase in the fuel-burn per hour.",same speed and an increase of the fuel-burn per hour and fuel-burn/distance.,1,,
Performance,A runway is contaminated by a 0.5 cm layer of wet snow. The take-off is nevertheless authorized by a light-twin's flight manual. The take-off distance in relation to a dry runway will be:,decreased.,unchanged.,increased.,very significantly decreased.,3,,
Performance,"On a twin engined piston aircraft with variable pitch propellers, for a given mass and altitude, the minimum drag speed is 125 kts and the holding speed (minimum fuel burn per hour) is 95 kts. The best rate of climb speed will be obtained for a speed:",equal to 95 kts.,between 95 and 125 kts.,< 95 kts.,equal to 125 kts.,2,,
Performance,If the actual Landing Mass is higher than planned:,the approach path will be steeper and threshold speed higher.,the landing distance will be longer.,the approach path will be steeper.,the landing distance will be unaffected.,2,,
Performance,The take-off distance required increases:,due to headwind because of the drag augmentation.,due to lower gross mass at take-off.,due to slush on the runway.,due to downhill slope because of the smaller angle of attack.,3,,
Performance,"The climb gradient of an aircraft after take-off is 6% in standard atmosphere, no wind, at 0 ft pressure altitude. Using the following corrections:<br>±± 0.2% / 1 000 ft field elevation<br>±± 0.1% / °C from standard temperature<br>- 1 % with wing anti-ice<br>- 0.5% with engine anti-ice<br>The climb gradient after take-off from an airport situated at 1 000 ft, 17 °C; QNH 1013,25 hPa, with wing and engine anti-ice operating for a functional check is:",4.9%,3.9%,4.7%,4.3%,2,,
Performance,"If the TAS is 100 kts on the glide slope of 3°, what is the rate of descent?",500 ft/min.,1 000 ft/min.,300 ft/min.,250 ft/min.,1,,
Performance,"A runway is contaminated with 0.5 cm of wet snow. The flight manual of a light twin nevertheless authorises a landing in these conditions. The landing distance will be, in relation to that for a dry runway:",increased,unchanged,reduced,substantially decreased,1,,
Performance,"With an true airspeed of 194 kt and a vertical speed of 1 000 ft/min, the climb angle is about:",3°,0.03,0.08,5°,1,,
Performance,"The take-off distance of an aircraft is 600 m in standard atmosphere, no wind at 0 ft pressure-altitude. Using the following corrections:<br>+ 20 m / 1 000 ft field elevation<br>- 5 m / kts headwind<br>+ 10 m / kts tailwind<br>±± 15 m / % runway slope<br>±± 5 m / °C deviation from standard temperature<br><br>The take-off distance from an airport at 1 000 ft elevation, temperature 17 °C, QNH 1013.25 hPa, 1% up-slope, 10 kts tailwind is:",715 m,685 m,755 m,555 m,3,,
Performance,Given:<br>Performance class: B<br>Cloud base above reference zero: 300 ft<br>Wind: calm<br>Obstacle distance (from end of TODR): 15 000 ft<br>Obstacle height above reference zero: 600 ft<br>ROC (all engines): 1 830 ft/min<br>ROC (single engine): 400 ft/min<br>TAS: 101 kts<br><br>Find the minimum obstacle clearance above the obstacle:<br>(Note: take-off power can be used for the whole climb segment),50 ft,235 ft,215 ft,815 ft,3,,
Performance,"An aircraft has two certified landing flaps positions, 25° and 35°. If a pilot chooses 25° instead of 35°, the aircraft will have:",an increased landing distance and degraded go-around performance.,a reduced landing distance and better go-around performance.,an increased landing distance and better go-around performance.,a reduced landing distance and degraded go-around performance.,3,,
Performance,"Following a take-off, limited by the 50 ft screen height, a light twin climbs on a gradient of 5%. It will clear a 160 m obstacle in relation to the runway (horizontally), situated at 5 000 m from the 50 ft point with an obstacle clearance margin of:",75 m.,90 m.,it will not clear the obstacle.,105 m.,4,,
Performance,"With a true airspeed of 194 kts and a vertical speed of 1 000 ft/min, the climb gradient is about:",8%,5.1%,5°,3%,2,,
Performance,"Following a take-off determined by the 50 ft (15 m) screen height, a light twin climbs on a 10% over-the-ground climb gradient. It will clear a 900 m high obstacle in relation to the runway (horizontally), situated at 10000 m from the 50 ft clearing point with an obstacle clearance of:",100 m.,85 m.,it will not clear the obstacle.,115 m.,4,,
Performance,Refer to figure 032-12<br>Consider the take-off performance for the twin jet aeroplane climb limit chart. Why has the wind been omitted from the chart?,The effect of the wind must be taken from another chart.,There is no effect of the wind on the climb angle relative to the ground.,The climb limit performances are taken relative to the air.,There is a built-in safety measure.,3,images/Performance/032-12.jpg,
Performance,"Refer to figure 032-12<br>With regard to the take-off performance of a twin jet aeroplane, why does the take-off performance climb limit graph show a kink at 30 °C and pressure altitude 0 ft?",At higher temperatures the VMBE determines the climb limit mass.,At lower temperatures one has to take the danger of icing into account.,At temperatures higher than ISA the flat rated engines determine the climb limit mass.,"The engines are pressure limited at lower temperature, at higher temperatures they are temperature limited.",4,images/Performance/032-12.jpg,
Performance,"Refer to figure 032-34<br>In the diagram you can see a take-off distance versus V1 speed graph (AE = All Engines, EF = Engine Failure). Which speed corresponds to the balanced V1?","Speed ""A""","Speed ""B""","Speed ""C""","Speed ""D""",4,/images/Performance/032-34.jpg,
Performance,Refer to figure 032-50<br>What is the maximum vertical speed of a three engine turbojet aeroplane with one engine inoperative (N-1) and a mass of 75 000 kg? Using the following:<br>g = 10 m/s±²<br>1 knot = 100 ft/min<br>sin(Angle of climb) = (Thrust-Drag) / Weight,+293 ft/min.,+1 267 ft/min.,0 ft/min.,-1 267 ft/min.,2,/images/Performance/032-50.jpg,
Performance,"Refer to figure 032-40<br>Have a look at the attached Long Range Cruise Control document and find %N1 and KIAS for a weight of 250,000 kg during a cruise flight in a pressure altitude of 28,000 ft.","78.2% ; 309 kts","80.0% ; 315 kts","76.3% ; 302 kts","79.8% ; 308 kts",1,/images/Performance/032-40.jpg,
Performance,"Refer to figure 032-13<br>With regard to the drift down performance of the twin jet aeroplane, what is meant by ""equivalent gross weight at engine failure""?",This gross weight accounts for the lower Mach number at higher temperatures.,The increment accounts for the higher fuel flow at higher temperatures.,The increment represents fuel used before engine failure.,The equivalent gross weight at engine failure is the actual gross weight corrected for OAT higher than ISA +10 °C.,4,images/Performance/032-13.jpg,
Performance,"Refer to figure 032-13<br>With regard to the drift down performance of the twin jet aeroplane, why does the curve representing 35 000 kg gross mass in the chart for drift down net profiles start at approximately 4 minutes at FL370?","Because at this mass the engines slow down at a slower rate after failure, there is still some thrust left during three minutes.","All the curves start at the same point, which is situated outside the chart.",Because at this mass it takes about 4 minutes to decelerate to the optimum speed for drift down at the original cruising level.,"Due to higher TAS at this mass it takes more time to develop the optimal rate of descent, because of the inertia involved.",3,images/Performance/032-13.jpg,
Performance,"Refer to figure 032-27. Have a look at the attached figure NET LEVEL-OFF ALTITUDE. Why are the temperature lines broken at 17,000 ft?","Fuel dumping can be started at 17,000 ft and above.","The air condition is turned off above 17,000 ft.","The air condition is turned off below 17,000 ft.","Usually there is an inversion at 17,000 ft.",3,images/Performance/032-27.jpg,
Performance,"Which of the following distances will increase if you increase V1, but VR remains unchanged?",Accelerate Stop Distance.,All Engine Take-off distance.,Take-off run.,Take-off distance.,1,,
Performance,"Minimum control speed on ground, VMCG, is based on directional control being maintained by:",primary aerodynamic control only.,"primary aerodynamic control, nosewheel steering and differential braking.",primary aerodynamic control and nosewheel.,nosewheel steering only.,1,,
Performance,Which of the following statements is applicable to the acceleration height at the beginning of the 3rd climb segment?,The minimum one engine out acceleration height must be maintained in case of all engines operating.,There is no requirement for minimum climb performance when flying at the acceleration height.,The maximum acceleration height depends on the maximum time take-off thrust may be applied.,The minimum legally allowed acceleration height is at 1 500 ft.,3,,
Performance,Which of the following are to be taken into account for the runway in use for take-off?,"Airport elevation, runway slope, standard temperature, standard pressure and wind components.","Airport elevation, runway slope, outside air temperature, standard pressure and wind components.","Airport elevation, runway slope, standard temperature, pressure altitude and wind components.","Airport elevation, runway slope, outside air temperature, pressure altitude and wind components.",4,,
Performance,Which of the following answers is correct if you consider the take-off distances and the corresponding speeds for take-off?,In a balanced V1 condition ASD = engine failure TOD = all engine TOR.,In a balanced V1 condition ASD = engine failure TOD = engine failure TOR.,There is a single speed for V1 at the runway limited take-off mass for a balanced condition.,V1 in a balanced condition is the maximum speed where the TOR and engine failure TOD will not be exceeded.,3,,
Performance,The engine failure during take-off run results in:,a shorter take-off run.,a higher V1.,a longer ground roll.,an increased acceleration.,3,,
Performance,Which statement regarding the influence of a runway down-slope is correct for a balanced take-off? Down-slope:,reduces V1 and reduces take-off distance required (TODR).,reduces V1 and increases the accelerate stop distance required (ASDR).,increases V1 and reduces the accelerate stop distance required (ASDR).,increases V1 and increases the take-off distance required (TODR).,1,,
Performance,The take-off runway performance requirements for transport category aeroplanes are based upon:,one engine inoperative only.,failure of critical engine only.,failure of critical engine or all engines operating which ever gives the greater take-off distance.,all engines operating only.,3,,
Performance,"An airport has a 3 000 metres long runway, and a 2 000 metres clearway at each end of that runway. For the calculation of the maximum allowed Take-off Mass, the take-off distance available cannot be greater than:",4 500 metres.,5 000 metres.,4 000 metres.,6 000 metres.,1,,
Performance,The lowest take-off safety speed (V2 MIN) is:,1.20 VSR for all turbo-propeller aeroplanes.,1.15 VSR for all turbojet and turbo-propeller aeroplanes.,1.20 VSR for all aeroplanes.,1.13 VSR for two- and three-engine turbo-propeller and turbojet aeroplanes.,4,,
Performance,"In relation to the net take-off flight path, the required 35 ft vertical distance to clear all obstacles is",the height by which acceleration and flap retraction should be completed.,based on pressure altitudes.,the height at which power is reduced to maximum climb thrust.,the minimum vertical distance between the lowest part of the aeroplane and all obstacles within the obstacle domain.,4,,
Performance,During take-off the third segment begins:,when flap retraction is completed.,when landing gear is fully retracted.,when acceleration to flap retraction speed (final take-off speed - VFTO) is started.,when acceleration starts from VLOF to V2.,3,,
Performance,Explain the effects of aeroplane and meteorological variables on the obstacle-limited take-off mass. The obstacle-limited take-off mass:,decreases in headwind conditions due because of a higher air resistance.,increases with a high atmospheric pressure because a higher thrust is available.,decreases when the runway is contaminated because of increased wheel friction.,increases because of upwards currents if the outside air temperature is high.,2,,
Performance,Which statement is correct?,VR must not be less than 1.05 VMCA and not less than V_1.,VR must not be less than 1.1 VMCA and not less than V_1.,VR must not be less than VMCA and not less than 1.05 V_1.,VR must not be less than 1.05 VMCA and not less than 1.1 V_1.,1,,
Performance,"The use of reduced take-off thrust is permitted, only if:",the take-off distance available is lower than the take-off distance required one engine out at V1.,the actual Take-off Mass (TOM) including a margin is greater than the performance limited TOM.,the actual Take-off Mass (TOM) is lower than the field length limited TOM.,the actual Take-off Mass (TOM) is greater than the climb limited TOM.,3,,
Performance,Given:<br>TORA: 3380 m<br>Clearway: 780 m<br>Stopway: 1250 m<br>What is the TODA if the pilot wants to calculate the RLLTOM (Runway Length Limited Take-Off Mass) for an unbalanced field?,3770 m,5410 m,4630 m,4160 m,4,,
Performance,The net flight path climb gradient after take-off compared to the gross climb gradient is:,larger.,smaller.,equal.,depends on type of aircraft.,2,,
Performance,How is V2 affected if T/O flaps 20° is chosen instead of T/O flaps 10°?,V2 decreases if not restricted by VMCA.,"V2 has no connection with T/O flap setting, as it is a function of runway length only.",V2 increases in proportion to the angle at which the flaps are set.,V2 has the same value in both cases.,1,,
Performance,The effect of a higher take-off flap setting up to the maximum certified take-off flap setting is:,an increase of both the field length limited Take-off Mass and the climb limited Take-off Mass.,an increase of the field length limited Take-off Mass but a decrease of the climb limited Take-off Mass.,a decrease of the field length limited Take-off Mass but an increase of the climb limited Take-off Mass.,a decrease of both the field length limited Take-off Mass and the climb limited Take-off Mass.,2,,
Performance,Assume a take-off with a class A airplane on a wet runway. Which of the following values shows the corresponding screen height of the take-off distance?,15 ft,0 ft,35 ft,50 ft,1,,
Performance,The one engine out take-off run is the distance between the brake release point and:,the lift-off point.,the middle of the segment between VLOF point and 35 ft point.,the point half way between V1 and V2.,the point where V2 is reached.,2,,
Performance,"Which of the following statements is correct?","VR should not be higher than V1.","VR is the speed at which, during rotation, the nose wheel comes off the runway.","VR is the speed at which the pilot should start to rotate the aeroplane. ","VR should not be higher than 1.05 VMCG",3,,
Performance,Which of the following is true with regard to VMCA (air minimum control speed)?,Straight flight can not be maintained below VMCA when the critical engine has failed.,The aeroplane will not gather the minimum required climb gradient.,The aeroplane is uncontrollable below VMCA.,VMCA only applies to four-engine aeroplanes.,1,,
Performance,"On a segment of the take-off flight path an obstacle requires a minimum gradient of climb of 2.6% in order to provide an adequate margin of safe clearance. At a mass of 110000 kg the gradient of climb is 2.95%. For the same power and assuming that the sine of the angle of climb varies inversely with mass, at what maximum mass will the aeroplane be able to achieve the minimum gradient?",106 425 kg,124 808 kg,102 150 kg,118 455 kg,2,,
Performance,"Which statement, in relation to the climb limited Take-off Mass of a jet aeroplane, is correct?",50% of a headwind is taken into account when determining the climb limited Take-off Mass.,The climb limited Take-off Mass is determined at the speed for best rate of climb.,On high elevation airports equipped with long runways the aeroplane will always be climb limited.,The climb limited Take-off Mass decreases with increasing OAT.,4,,
Performance,The result of a higher flap setting (up to the optimum) for take-off is:,an increased acceleration.,a higher V1.,a longer take-off run.,a shorter ground roll.,4,,
Performance,"The speed used to determine the ""maximum tyre-speed limit"" is the:",EAS.,TAS.,IAS.,groundspeed.,4,,
Performance,The decision speed at take-off (V1) is the calibrated airspeed:,"below which take-off must be rejected if an engine failure is recognized, above which take-off must be continued.",at which the failure of the critical engine is expected to occur.,at which the take-off must be rejected.,below which the take-off must be continued.,1,,
Performance,V1 for a balanced-field is calculated when:,the acceleration/stop distance available is equal to the take-off distance available.,the take-off mass is field-length limited by the clearway to produce the maximum take-off mass.,the speed is equal to V2.,the take-off mass is field-length limited by the stopway to produce the maximum take-off mass.,1,,
Performance,Which of the following statements is correct?,The performance limited Take-off Mass is independent of the wind component.,The climb limited Take-off Mass is independent of the wind component.,The accelerate stop distance required is independent of the runway condition.,The take-off distance with one engine out is independent of the wind component.,2,,
Performance,"The effects of an increased ambient air temperature beyond the flat rating cut-off temperature of the engines are: The field-length-limited take-off mass __ and the climb limited take-off mass __.","increases,increases","increases,decreases"," decreases,decreases","decreases; increases",3,,
Performance,Which statement concerning the balanced/unbalanced field concept is correct?,"If there is a clearway and a stopway, the field length can never be balanced.",If TOD < ASD then V1 < V1 balanced,The balanced field concept provides only one single V1 value.,If TOD > ASD then V1 > V1 balanced,3,,
Performance,"In the event that the Take-off Mass is obstacle limited and the take-off flight path includes a turn, the bank angle should not exceed:",10° up to a height of 400 ft.,15° up to a height of 400 ft.,20° up to a height of 400 ft.,25° up to a height of 400 ft.,2,,
Performance,Due to standing water on the runway the field length limited Take-off Mass will be:,higher.,only higher for three and four engine aeroplanes.,unaffected.,lower.,4,,
Performance,V1 has to be:,equal to or higher than VMCG,higher than than VR,equal to or higher than V2,equal to or higher than VMCA,1,,
Performance,"Which statement is correct?","The climb limited Take-off Mass will increase if the headwind component increases","The climb limited Take-off Mass increases when a larger take-off flap setting is used","The climb limited Take-off Mass depends on pressure altitude and outside air temperature.","The performance limited Take-off Mass is the highest of:<br>i) field length limited Take-off Mass<br>ii) climb limited Take-off Mass<br>iii) obstacle limited Take-off Mass.",3,,
Performance,An operator shall ensure that the net take-off flight path clears all obstacles. The half-width of the obstacle-corridor at the distance D from the end of the TODA is at least:,0.125 D,-90 m + 1.125 D,90 m + D/0.125,90 m + 0.125 D,4,,
Performance,Which of the alternatives represents the correct relationship?,VMCG and V1 should not exceed VR.,VMCL and V1 should not exceed VR.,VMCA and VR should not exceed V1.,V2 and V1 should not exceed VMCG.,1,,
Performance,The speed VSR is defined as,design stress speed.,as reference stall speed and may not be less than 1-g stall speed.,speed for best specific range.,safe rotation speed for take-off.,2,,
Performance,"If the Take-off Mass of an aeroplane is tire speed limited, downhill slope would:",have no effect on the maximum mass for take-off.,increase the required take-off distance.,decrease the maximum mass for take-off.,increase the maximum mass for take-off.,1,,
Performance,Which one of the following is not affected by a tailwind?,The climb limited Take-off Mass.,The field limited Take-off Mass.,The take-off run.,The obstacle limited Take-off Mass.,1,,
Performance,The speed V2 is:,the lowest safety airspeed at which the aeroplane is under control with aerodynamic surfaces in the case of an engine failure.,the lowest airspeed required to retract flaps without stall problems.,that speed at which the PIC should decide to continue or not the take-off in the case of an engine failure.,the take-off safety speed.,4,,
Performance,Occasional movements by aircraft with an ACN of 50 should not adversely affect the pavement if the reported PCN is at least:,60 / F / A / W / U,47 / F / A / W / U,45 / R / A / W / U,60 / R / A / W / U,2,,
Performance,VR cannot be lower than:,1.2 VS for twin and three engine jet aeroplane.,1.15 VS for turbo-prop with three or more engines.,V1 and 105% of VMCA.,105% of V1 and VMCA.,3,,
Performance,During the flight preparation the climb limited Take-off Mass (TOM) is found to be much greater than the field length limited TOM using 5° flap. In what way can the performance limited TOM be increased? There are no limiting obstacles.,By selecting a lower flap setting.,By selecting a higher V±‚‚.,By selecting a lower V±‚‚.,By selecting a higher flap setting.,4,,
Performance,What is a balanced field length?,The one engine inoperative take-off distance and the rejected take-off distance to full stop are equal,The one engine inoperative acceleration distance to V1 and the rejected take-off distance to full stop are equal,The all engine take-off distance and the rejected take-off distance to full stop are equal,The all engine acceleration distance to V1 and the rejected take-off distance to full stop are equal,1,,
Performance,In accordance to EASA CS-25 which of the following listed speeds are used for determination of V2 MIN?,"VMCG, V2.","V1, VR.","VS0, VMCA.","VSR, VMCA.",4,,
Performance,Maximum Tire Speed can limit the Lift-off Speed. Which kind of speed can be directly used to determine this limitation?,Ground speed,IAS,CAS,TAS,1,,
Performance,"For take-off obstacle clearance calculations, obstacles in the first segment may be avoided:",by banking not more than 15° between 50 ft and 400 ft above the runway elevation.,by banking as much as needed if aeroplane is more than 50 ft above runway elevation.,only by using standard turns.,by standard turns - but only after passing 1 500 ft.,1,,
Performance,In accordance with EASA CS 25 the take-off safety speed V2 MIN for turbo-propeller powered aeroplanes with more than three engines may not be less than:,1.13 VSR,1.2 VSR,1.08 VSR,VSR,3,,
Performance,Which combination of circumstances or conditions would most likely lead to a tire speed limited take-off?,A high runway elevation and a headwind.,A low runway elevation and a headwind.,A low runway elevation and a cross wind.,A high runway elevation and tailwind.,4,,
Performance,Before take-off the temperature of the wheel brakes should be checked. For what reason?,To ensure that the brake wear is not excessive.,To ensure that the thermal blow-out plugs are not melted.,Because overheated brakes will not perform adequately in the event of a rejected take-off.,To ensure that the wheels have warmed up evenly.,3,,
Performance,"Regarding take-off, the take-off decision speed V1:",is always equal to VEF (Engine Failure speed).,is the airspeed on the ground at which the pilot is assumed to have made a decision to continue or discontinue the take-off.,is an airspeed at which the aeroplane is airborne but below 35 ft and the pilot is assumed to have made a decision to continue or discontinue the take-off.,is the airspeed of the aeroplane upon reaching 35 feet above the take-off surface.,2,,
Performance,Reduced take-off thrust should normally not be used when:,the runway is wet.,the runway is dry.,windshear is reported on the take-off path.,it is dark.,3,,
Performance,"If the field-length-limited take-off mass and V1 were calculated using balanced field-lengths, the use of any additional clearway in the calculation would cause:",an increased obstacle-limited take-off mass and an increased V1.,an increased field-length-limited take-off mass and an increased V1.,an increased field-length-limited take-off mass and a reduced V1.,an increased obstacle-limited take-off mass with the same V1.,3,,
Performance,"an aeroplane (certified under US 25) with 5°, 15° and 25° flaps angles on take-off, leads to the following values with zero wind:<br>Flap angle: 5° 15° 25°<br>Runway limitation: 66 000 kg 69 500 kg 71 500 kg<br>2nd segment climb limitation: 72 200 kg 69 000 kg 61 800 kg<br>Wind corrections:<br>Headwind: +120 kg / 1 kt<br>Tailwind: -360 kg / 1 kt<br>Given that the tailwind component is equal to 5 kts, the maximum mass on brake release and corresponding flap angle will be:",72 200 kg / 5°.,69 700 kg / 25°.,69 000 kg / 15°.,67 700 kg / 15°.,4,,
Performance,The pilot decides to increase V2. Does this have any effect on the 35 ft screen height?,The screen height and the location of the screen height along the runway will not change.,The 35 ft screen height is located further down along the runway.,The screen height will be increased to 50 ft.,The distance from the beginning of the take-off roll to the location of the screen height will be shorter.,2,,
Performance,For a turbojet aeroplane the 2nd segment of the take-off climb begins when:,flaps are fully retracted.,accelerating from V2 to flap retraction speed begins.,landing gear is fully retracted.,flap retraction begins.,3,,
Performance,Which statement about reduced thrust is correct?,Reduced thrust is used in order to save fuel.,Reduced thrust is primarily a noise abatement procedure.,In case of reduced thrust V1 should be decreased.,Reduced thrust can be used when the actual Take-off Mass is less than the field length limited Take-off Mass.,4,,
Performance,"If the value of the balanced V1 is found to be lower than VMCG, which of the following is correct?",The VMCG will be lowered to V1.,The ASDR will become greater than the one engine out take-off distance.,The one engine out take-off distance will become greater than the ASDR.,V1 must be increased to at least the value of VMCG.,4,,
Performance,Which of the following set of factors could lead to a V2 value which is limited by VMCA?,"Low Take-off Mass, high flap setting and low field elevation.","High Take-off Mass, high flap setting and low field elevation.","High Take-off Mass, low flap setting and high field elevation.","Low Take-off Mass, low flap setting and low field elevation.",1,,
Performance,The minimum value of V2 must exceed VMC by:,10%,15%,30%,20%,1,,
Performance,The 2 seconds time interval during take-off between VEF and V1 is used for:,calling ATC.,deciding (continue or abort).,informing the cabin.,recognition.,4,,
Performance,Complete the following statement regarding the take-off performance of an aeroplane in performance class A. Following an engine failure before ___ and allowing for a pilot reaction time of ___ a correctly loaded aircraft must be capable of decelerating to a stop within the ___.,"V2; 3 seconds; Take-Off distance available (TODA)","V1; 2 seconds; Accelerate-Stop aistance available (ASDA) ","V1; l second; Accelerate-Stop distance1 available (ASDA) ","V1; 2 seconds; Take-Off distance available (TODA)",2,,
Performance,"The ""maximum tire speed"" limits:",VLOF in terms of ground speed.,V1 in kts TAS.,V1 in kts ground speed.,VR or VMU if this is lower than VR.,1,,
Performance,A higher outside air temperature (OAT):,increases the climb limited Take-off Mass.,increases the field length limited Take-off Mass.,decreases the brake energy limited Take-off Mass.,decreases the take-off distance.,3,,
Performance,Which of the following sets of factors will increase the climb limited TOM (every factor considered independently)?,"Low flap setting, low PA, low OAT.","Low flap setting, high PA, high OAT.","Low flap setting, high PA, low OAT.","High flap setting, low PA, low OAT.",1,,
Performance,Which statement related to a take-off from a wet runway is correct?,Screenheight reduction can not be applied because of reduction in obstacle clearance.,In case of a reverser inoperative the wet runway performance information can still be used.,The use of a reduced VR is sufficient to maintain the same safety margins as for a dry runway.,A reduction of screen height is allowed in order to reduce weight penalties.,4,,
Performance,Which statement concerning the inclusion of a clearway in take-off calculation is correct?,V1 remains constant.,V1 is increased.,The usable length of the clearway is not limited.,The field length limited Take-off Mass will increase.,4,,
Performance,The Take-off Mass of an aeroplane is restricted by the climb limit. The effect an increased headwind component on the value of this limit is:,The climb limited Take-off Mass would increase.,The effect would vary depending upon the height of any obstacle within the net take-off flight path.,The climb limited Take-off Mass would decrease.,None.,4,,
Performance,The minimum climb gradient required on the 2nd flight path segment after the take-off of a jet aeroplane is defined by the following parameters:<br>1) Gear up.<br>2) Gear down.<br>3) Wing flaps retracted.<br>4) Wing flaps in take-off position.<br>5) N engines at the take-off thrust.<br>6) (N-1) engines at the take-off thrust.<br>7) Speed over the path equal to V2 + 10 kts.<br>8) Speed over the path equal to 1.3 Vs.<br>9) Speed over the path equal to V2.<br>10) At a height of 35 ft above the runway.<br>The correct statements are:,"1, 4, 6, 9","1, 5, 8, 10","2, 3, 6, 9","1, 4, 5, 10",1,,
Performance,In case of an engine failure recognized below V1:,the take-off is to be continued unless V1 is less than the balanced V1.,the take-off should only be rejected if a stopway is available.,the take-off may be continued if a clearway is available.,the take-off must be rejected.,4,,
Performance,"Reduced take-off thrust:","can be used if the headwind component during take-off is at least 10 kts.","is not recommended at very low temperatures (OAT).","can be used if the actual Take-off Mass is higher than the performance limited Take-off Mass.","has the benefit of improving engine life.",4,,
Performance,Which is the correct sequence of speeds during take-off?,"VMCG, V1, VR, V2.","V1, VMCG, VR, V2.","V1, VR, VMCG, V2.","V1, VR, V2, VMCA.",1,,
