category,question,optionA,optionB,optionC,optionD,correct,image,explanation
RNAV,An electromagnetic wave consists of an oscillating electric field (E) and an oscillating magnetic field (H). Which statement is correct?,"when signal passes through the antenna, the 'H' field is parallel to the wire and the 'E' field is perpendicular to the wire.","when signal passes through the antenna, the 'E' and 'H' fields are perpendicular to the wire.",a dipole antenna can only transmit the 'H' field.,"when signal passes through the antenna, the 'E' field is parallel to the wire and the 'H' field is perpendicular to the wire.",4,,
RNAV,An AC will be induced:,"in a wire, parallel to the wire fed with a DC, but remote from it.","in a wire, connected in series to a wire fed with a DC.","in a wire, parallel to the wire fed with a AC, but remote from it.","in a wire, perpendicular to the wire fed with an AC, but remote from it.",3,,
RNAV,The simplest type of antenna construction is a:,dipole antenna which is a wire of length equal to one half of the wavelength.,slotted antenna used in modern weather radars.,parabolic antenna used in weather radars.,loop antenna used in ADF receivers.,1,,
RNAV,What describes polarization?,Orientation of the plane of oscillation of the magnetic component (H) of the electromagnetic wave.,Orientation of the plane of oscillation of the electrical component (E) of the electromagnetic wave.,Orientation of the antenna to the North Pole.,Rotation of the antenna around a fixed axis.,2,,
RNAV,Comparing a parabolic reflector with a flat plate antenna of the same size,the parabolic reflector has a considerably smaller beam width.,the flat plate antenna generates less side lobes than the parabolic reflector.,the parabolic reflector generates less side lobes than the flat plate antenna.,the flat plate antenna has a considerably smaller beam width.,2,,
RNAV,What is necessary to enable an antenna to transmit an electromagnetic wave?,The antenna has to be fed with direct current.,The length of the antenna has to be equal to the wavelength.,The mounting of the antenna has to be perpendicular to the ground.,The antenna has to be fed with alternating current of high frequency.,4,,
RNAV,"In its basic type, a dipole antenna adapted for a frequency of 110 MHz will have a wire length of:",272 cm,68 cm,205 cm,136 cm,4,,
RNAV,Skip distance is the:,wavelength distance of a certain frequency.,range from the transmitter to the first sky wave.,thickness of the ionosphere.,highest critical frequency distance.,2,,
RNAV,"Due to the Doppler effect, an apparent increase in the transmitted frequency will occur when:",the transmitter moves away from the receiver.,the receiver moves away from the transmitter.,the transmitter and the receiver move towards each other.,there is no relative movement between the transmitter and the receiver.,3,,
RNAV,An apparent increase in the transmitted frequency which is proportional to the transmitter velocity will occur when:,the transmitter moves towards the receiver.,both transmitter and receiver move towards each other.,the receiver moves towards the transmitter.,the transmitter moves away from the receiver.,1,,
RNAV,From which physical phenomenon do skywaves originate?,refraction,interference,diffraction,absorption,1,,
RNAV,"The phenomena called ""fading"" can occur. (consider LF and MF)",only during daytime.,from the beginning of evening twilight until the end of the morning civil twilight.,only at night.,at any time.,2,,
RNAV,A radio signal looses strength as the range from the transmitter increases. This effect is called:,ducting,propagation,refraction,attenuation,4,,
RNAV,Diffraction is the process by which:,a ground wave is attenuated over rough ground.,radio wave travel over and around obstacles.,a space wave penetrates the ionosphere.,a direct wave is bent around the form of the Earth.,2,,
RNAV,Reflection from ionospheric layers is used in the following radio frequencies:,UHF,VHF,SHF,HF,4,,
RNAV,The phenomenon of a change in direction of a radio wave occurring due to a change in its speed is called?,diffraction,interference,reflection,refraction,4,,
RNAV,"Concerning the wave propagation in the ionosphere, we can divide the vertical extent of the ionosphere into 3 layers. Those 3 layers are:","D, E and F layers and their depth varies with time.","D, E and F layers and their depth does not vary with time.","A, B and C layers and their depth varies with time.","A, C and E layers with equal depth.",1,,
RNAV,The skip distance (skip zone) of HF-transmission will increase with:,higher frequency and lower position of the reflecting ionospheric layer.,lower frequency and higher position of the reflecting ionospheric layer.,higher frequency and higher position of the reflecting ionospheric layer.,lower frequency and lower position of the reflecting ionospheric layer.,3,,
RNAV,"What does the term ""fading"" mean?",The interference of the sky wave with the ground wave.,An effect which can be observed only in the F-layer of the ionosphere.,The disappearance of the D-layer of the ionosphere when the evening twilight begins.,"An effect at the radar system which leads to ""blind speed"".",1,,
RNAV,"Due to Doppler effect an apparent decrease in the transmitted frequency, which is proportional to the transmitters velocity, will occur when:",the transmitter moves toward the receiver.,the transmitter and receiver move towards each other.,both transmitter and receiver move away from each other.,the transmitter moves away from the receiver.,4,,
RNAV,Refer to figure 062-24<br>An NDB is located 10 NM inland and you are flying along the coastline (see picture) and experience shore/coastal effects. In which sectors do you expect the largest errors?,A + D and the signal bends off the coast,C + D and the signal bends towards the coast,A + C and the signal bends towards the coast,A + B and the signal bends off the coast,2,,
RNAV,"Refer to figure 062-25<br>At which of the four positions is the error of the signal, due to coastal refraction, of VNC NDB lowest?",Position A,Position B,Position C,Position D,3,,
RNAV,Refer to figure 062-24<br>An NDB is located 10 NM inland and you are flying along the coastline (see picture) and experience shore/coastal effects. In which sectors do you expect minimum errors?,In sectors A and B.,In sectors B and C.,All of the sectors shown.,In sectors A and C.,1,,
RNAV,Refer to figure 062-11<br>An aircraft is flying on a MH of 010°. The magnetic variation at the VOR is 10°W and at the aircraft 12°W. Which VOR-RMI corresponds to the indications on the CDI shown on the Annex?,Figure C,Figure D,Figure B,Figure A,2,,
RNAV,Refer to figure 062-04. An aircraft is flying on the 170 radial with a MH of 315°. On the CDI the CRS is set to 180. Which CDI shows the correct indications?,Figure D,Figure A,Figure B,Figure C,4,,
RNAV,Refer to figure 062-05<br>An aircraft is flying on the 050 radial with a MH of 250°. On the CDI the CRS is set to 060. Which CDI shows the correct indications?,Figure A,Figure D,Figure C,Figure B,3,,
RNAV,Refer to figure 062-08<br>An aircraft is on the 065 radial with a heading of 090°M. The Course Reference Selector (CRS) is set on 240. Which HSI shows the correct indications?,Figure A,Figure B,Figure C,Figure D,2,,
RNAV,Refer to figure 062-13. An aircraft is flying on a MH of 210°. The magnetic variation at the VOR is 5°W and at the aircraft 10°W. According to the CDI shown at the top of the Annex the aircraft is on radial:,015,025,205,195,2,,
RNAV,Refer to figure 062-14. An aircraft is flying on a MH of 010°. The magnetic variation at the VOR is 10°W and at the aircraft 12°W. Which VOR-RMI corresponds to the indications on the HSI shown on the Annex?,Figure C,Figure A,Figure D,Figure B,1,,
RNAV,"Refer to figure 062-76. The OBS is set on 048°, TO appears in the window. The needle is close to full right deflection. The VOR radial is approximately.",218°,058°,238°,038°,3,,
RNAV,Refer to figure 062-13<br>An aircraft is flying on a MH of 210°. The magnetic variation at the VOR is 5°W and at the aircraft 10°W. Which VOR-RMI corresponds to the indications on the CDI shown on the Annex?,Figure C,Figure D,Figure B,Figure A,2,,
RNAV,Refer to figure 062-06. An aircraft is flying on the 050 radial with a MH of 250°. On the HSI the CRS is set to 060. Which HSI shows the correct indications?,Figure A,Figure B,Figure C,Figure D,2,,
RNAV,Refer to figure 062-07<br>An aircraft is flying on the 245 radial with a MH of 250°. On the HSI the CRS is set to 060. Which HSI shows the correct indications?,Figure A,Figure B,Figure C,Figure D,1,,
RNAV,Refer to figure 062-09<br>An aircraft is flying on the 170 radial with a MH of 315°. On the HSI the CRS is set to 180. Which HSI shows the correct indications?,Figure D,Figure A,Figure B,Figure C,4,,
RNAV,Refer to figure 062-16<br>An aircraft is flying on a MH of 010°. The magnetic variation at the VOR is 10°W and at the aircraft 12°W. Which VOR-RMI corresponds to the indications on the HSI shown on the Annex?,Figure A,Figure D,Figure B,Figure C,3,,
RNAV,Refer to figure 062-12. An aircraft is flying on a MH of 010°. The magnetic variation at the VOR is 10°W and at the aircraft 12°W. Which VOR-RMI corresponds to the indications on the CDI shown on the Annex?,Figure C,Figure B,Figure A,Figure D,3,,
RNAV,Refer to figure 062-03<br>An aircraft is flying on the 245 radial with a MH of 250°. On the CDI the CRS is set to 060. Which CDI shows the correct indications?,Figure A,Figure C,Figure D,Figure B,3,,
RNAV,Refer to figure 062-15. An aircraft is flying on a MH of 210°. The magnetic variation at the VOR is 5°W and at the aircraft 10°W. Which VOR-RMI corresponds to the indications on the HSI shown on the Annex?,Figure D,Figure A,Figure B,Figure C,3,,
RNAV,Refer to figure 062-15<br>An aircraft is flying on a MH of 210°. The magnetic variation at the VOR is 5°W and at the aircraft 10°W. According to the HSI shown at the top of the Annex the aircraft is on radial:,195,025,015,205,2,,
RNAV,"Refer to figure 062-55<br>Assuming a five dot display on either side of the CDI on the ILS localiser cockpit display, what does each dot represent approximately?",1.5°,2.0°,2.5°,0.5°,4,,
RNAV,Which of the following affects VDF range?,Sky wave propagation.,Coastal refraction.,The height of the transmitter and of the receiver.,Strength of the pilot's voice when transmitting.,3,,
RNAV,Which of the following is an advantage of Ground/DF (VDF) let-down?,It only requires a VHF radio to be fitted to the aircraft.,It does not require any special equipment to be fitted to the aircraft.,It is pilot interpreted and does not require the assistance of ATC.,"It does not require any special equipment, apart from a VHF radio, to be installed in the aircraft or on the ground.",1,,
RNAV,Range of VDF depends on:<br>1) Loudness of the voices of the pilot and the operator when transmitting.<br>2) Power of airborne and ground transmitters.<br>3) Power of pilot voice when transmitting.<br>4) Aircraft altitude and ground transmitter elevation.<br>The combination regrouping all the correct statements is:,"2, 4",2,"3, 4",1,1,,
RNAV,"What is the minimum level (ISA conditions) that an aircraft, at a range of 113 NM, must fly in order to contact the tower on R/T for a VDF bearing from an airport sited 169 ft above MSL?",FL80,FL50,FL60,FL100,3,,
RNAV,The VHF direction finder uses the following wavelengths:,metric,decimetric,hectometric,centimetric,1,,
RNAV,The minimum airborne equipment required for operation of a VHF direction finder is a:,VHF transmitter-receiver operating in the 118 MHz to 136 MHz range.,cathode-ray tube.,VHF receiver operating in the 118 MHz to 136 MHz range.,VHF compass operating in the 200 kHz to 1 750 kHz range.,1,,
RNAV,What is the approximate maximum theoretical range at which an aircraft at FL130 could receive information from a VDF facility which is sited 1 024 ft above MSL?,120 NM,220 NM,180 NM,150 NM,3,,
RNAV,Which of the following statements about the range of VHF waves is correct?,The range depends on the elevation of the antenna located on the ground and on the altitude of the aircraft.,The range is independent of the elevation of the transmitter antenna.,The range is independent of the aircraft altitude. It depends on transmitter power only.,Mountains or other obstacles located between transmitter and aircraft do not affect the range.,1,,
RNAV,"What airborne equipment, if any, is required to be fitted in order that a VDF let-down may be flown?",VOR.,None.,VOR / DME.,VHF radio.,4,,
RNAV,Range of VDF depends on:<br>1) line of sight formula.<br>2) power of transmitters.<br>3) intervening high ground.<br>The combination regrouping all the correct statements is:,2,"1, 2","1, 3","1, 2, 3",4,,
RNAV,"To provide a pilot with the position of the aircraft in the absence of radar, ATC must have at its disposal at least:","two VDF's at different locations, able to take bearings simultaneously on the transmitted frequency.",one VDF able to take simultaneous bearings on different frequencies.,three VDF's at different locations able to take simultaneous bearings on different frequencies.,"two co-located VDF's, able to take bearings simultaneously on the transmitted frequency.",1,,
RNAV,"What is the ""Q"" code for a magnetic bearing from a VDF station?",QDR.,QNH.,QDM.,QTE.,1,,
RNAV,One of uses of the VDF service is providing aircraft with:,heading.,homing.,altitude.,ground speed.,2,,
RNAV,What is the effect of multipath signals (coming from the same aircraft) at the Ground VHF Direction Finder station?,"It may result in an increase of the distance at which the Ground VHF Direction Finder station receives signals from the aircraft, if the Ground Station is situated in the skipzone.","Regardless the difference in distance travelled by these signals, it results in their extinction of the signals at the Ground VHF Direction Finder station.",They may result in bearing errors.,It reduces the range at which the Ground VHF Direction Finder station receives signals from the aircraft.,3,,
RNAV,A VDF may be used:,in emergency type situations when the aircraft is unable to transmit on VHF.,in combination with radar to solve the 180° ambiguity.,to provide the ATC controller with bearings of aircraft in the absence of radar.,in lieu of ILS for precision approach purposes.,3,,
RNAV,The VDF class A bearing is accurate to within:,Â± 5°,Â± 10°,Â± 2°,Â± 1°,3,,
RNAV,VDF measures the bearing of the aircraft with:,reference to true or magnetic north at the aircraft.,reference only to magnetic north at the aircraft.,reference to aircraft relative bearing.,reference to true or magnetic north at the station.,4,,
RNAV,"In flight, a pilot can improve the range of his transmission with a VDF operator by:",increasing altitude.,flying out of clouds.,speaking louder.,decreasing altitude.,1,,
RNAV,VDF is the abbreviation for:,Very Direct Finder.,Variable Direction Finder.,VHF Direction Finder.,Very High Frequency Deviation Finding Station.,3,,
RNAV,"An aircraft is HOMING to a radio beacon whilst maintaining a relative bearing of zero. If the magnetic heading decreases, the aircraft is experiencing:",zero drift.,right drift.,left drift.,a wind from the west.,2,,
RNAV,On which of the following displays are you able to get a direct read-out (no calculation is necessary from the pilot) of the magnetic bearing from the aircraft to the NDB?,Fixed card ADF only.,Fixed card ADF and RMI.,Moving card ADF and RMI.,Moving and fixed card ADF.,3,,
RNAV,"In order to obtain an ADF bearing on a system using sense and loop aerials, the:","mode selector should be switched to ""loop"".",sense aerial must be tuned separately.,signal must be received by both the sense and loop aerials.,"BFO switch must be selected to ""ON"".",3,,
RNAV,"According to ICAO Annex 10, what is the approximate range of a locator?",10 - 25 NM.,100 - 300 NM.,50 - 100 NM.,25 - 50 NM.,1,,
RNAV,Quadrantal errors associated with aircraft Automatic Direction Finding (ADF) equipment are caused by:,signal bending by the aircraft metallic surfaces.,signal bending caused by electrical interference from aircraft wiring.,misalignment of the loop aerial.,skywave/groundwave contamination.,1,,
RNAV,Which of the following is correct regarding the range of an NDB?,The transmitter power of the NDB station has no effect on the range.,The range of an NDB will most likely increase at day time compared to night time.,The range is limited to the line of sight.,Aircraft height is not limiting for the reception of signals from the NDB.,4,,
RNAV,With regard to the range of NDB's and the accuracy of the bearings they provide can be stated that in general at night:,the range decreases and the accuracy increases.,the range increases and the accuracy decreases.,the range and the accuracy both increase.,the range and the accuracy both decrease.,2,,
RNAV,"In accordance with ICAO Doc 8168, a pilot flying an NDB approach must achieve a tracking accuracy of within ___ of the published approach track.",Â±2°,Â±5°,Â±10°,Â±2.5°,2,,
RNAV,The allocated frequencies for NDB are:,250 - 450 kHz.,200 - 500 kHz.,108 - 117.95 MHz.,190 - 1 750 kHz.,4,,
RNAV,"On the QDR of 075° (in the vicinity of the station) with a magnetic heading of 295°, the relative bearing on the ADF indicator is:",320°,140°,040°,220°,1,,
RNAV,What causes the so-called night effect?,"The difference in velocity of the EM-waves over land and over sea, at night.",A change in the direction of the plane of polarization due to reflection in the ionosphere.,The absence of the surface wave at distances larger than the skip distance.,Interference between the ground and the space wave.,2,,
RNAV,The shoreline/coastal effect is caused by diffraction/refraction of the radio waves. What is one factor influencing the error of the bearing?,Weather conditions.,Flight altitude.,Conditions over the sea.,Ground speed.,2,,
RNAV,Which statement about the errors and effects on NDB radio signals is correct?,Night effect is a result of interference of the surface wave and the space wave causing a reduction in range.,Shoreline effects may cause a huge bearing error due to reflection of the radio signal onto steep coasts.,Lightning during atmospheric disturbances may cause a reduction of the signal strength that may result in only slight bearing errors.,The mountain effect is caused by reflections onto steep slopes of mountainous terrain which may cause big errors in the bearing.,4,,
RNAV,"Two NDBs, one 20 NM inland from the coast and the other 50 NM further inland. Assuming that the error caused by coastal refraction is the same for both propagations, the extent of the error in a position line plotted by an aircraft that is over water will be:",greater from the beacon that is 50 NM inland.,the same from both beacons when the aircraft is on a relative bearing of 090° and 270°.,greater from the beacon that is 20 NM inland.,the same from both beacons when the aircraft is on a relative bearing of 180° and 360°.,1,,
RNAV,Which of the following is the ICAO allocated frequency band for ADF receivers?,190 - 1 750 kHz.,200 - 2 000 kHz.,255 - 455 kHz.,300 - 3 000 kHz.,1,,
RNAV,ADF is the abbreviation for:,Automatic Direction Finder.,Aircraft Directional finder.,Aircraft Direction Finding.,Automatic Detection Finding.,1,,
RNAV,"Night effect is a phenomenon that affects NDB signals at night, caused by Sky Waves being reflected back from the ionosphere. This happens because:",At night the F layer in the ionosphere disappears and the signals reach the D and E layers which reflect them back.,At night the E layer in the ionosphere disappears and the signals reach the D and F layers which reflect them back.,At night the D & F layers in the ionosphere disappear and the signals reach the E layers which reflects them back.,At night the D layer in the ionosphere disappears and the signals reach the E and F layers which reflect them back.,4,,
RNAV,NDB is the abbreviation for:,Non Directional Bearing.,Non Directional Beacon.,Navigation Director Beacon.,Night Directional Beacon.,2,,
RNAV,Using an ADF indicator of the manually rotatable card type:,it may be combined with a VOR indicator.,"the aircraft heading may be marked on the indicator with a manually controlled ""bug"".",the card should be rotated so that the aircraft heading is at the top of the indicator.,the relative bearing is always indicated below the pointer needle.,3,,
RNAV,Which statement is correct with respect to the range of an NDB?,During the night the range of an NDB will decrease due to the interference of the direct- and earth reflected wave.,With propagation over sea the range will be greater than the range with propagation over land.,The range depends on the altitude of the aircraft.,"In order to double the range of an NDB, the transmission power should be increased with a factor 16.",2,,
RNAV,Errors caused by the effect of coastal refraction on bearings at lower altitudes are maximum when the NDB is:,inland and the bearing crosses the coast at an acute angle.,near the coast and the bearing crosses the coast at right angles.,inland and the bearing crosses the coast at right angles.,near the coast and the bearing crosses the coast at an acute angle.,1,,
RNAV,You are on a magnetic heading of 055° and your ADF indicates a relative bearing of 325°. The QDM is:,055°,020°,235°,200°,2,,
RNAV,To avoid inaccuracies that may be caused by coastal refraction the pilot should take an ADF bearing when:,The aircraft is situated on any perpendicular to the coast.,The relative bearing is perpendicular to the true heading.,The relative bearing is either 090° or 270°.,The aircraft is on the perpendicular to the coast which runs though the NDB.,4,,
RNAV,An RMI indicates aircraft heading and bearing. To convert the RMI bearings of NDBs and VORs to true bearings the correct combination for the application of magnetic variation is:,"NDB: beacon position; VOR: beacon position.","NDB: aircraft position;VOR: beacon position.","NDB: aircraft position; VOR: aircraft position.","NDB: beacon position; VOR: aircraft position.",2,,
RNAV,Locators are:,beacons with a range of 10 to 250 NM.,high powered NDBs used for en route and airways navigation.,LF/MF NDBs used as an aid for final approach.,low powered ADFs used for airfield or runway approach.,3,,
RNAV,A radio beacon has an operational range of 10 NM over land. By what factor should the transmitter power be increased in order to achieve an operational range of 20 NM?,2,6,4,8,3,,
RNAV,A locator beacon differs from an NDB with respect to:<br>1) operational use.<br>2) transmission power.<br>3) presentation in the cockpit.<br>4) frequency band.<br>From the above stated differences the following numbers are correct:,"2, 3, 4","1, 4","1, 2, 3","1, 2",4,,
RNAV,"An ADF provides the aircraft with bearing information with respect to a ground station. To do this, the ground station emits a signal pattern which is:",frequency modulated at 30 Hertz.,omni-directional.,a beam rotating at 30 Hertz.,unidirectional.,2,,
RNAV,"The reading of the RMI bearing is 300° at the tip of the needle. The magnetic variation at the DR position is 24°W, the magnetic variation at the NDB is 22°W and the deviation is -2°. The compass heading is 020°. The true bearing is:",274°,294°,094°,272°,1,,
RNAV,Which statement is correct for tracking towards an NDB in an area with constant wind and constant magnetic variation?,The Relative Bearing of the NDB should be equal (in magnitude and sign) to the applied Wind Correction Angle.,The Relative Bearing of the NDB should be equal (in magnitude and sign) to the experienced Drift Angle.,The Relative Bearing of the NDB should be equal to the QDM.,The Relative Bearing of the NDB should be kept 000°.,2,,
RNAV,"The BFO selector switch on the ADF control panel must be in the ""ON"" position to enable the pilot to:",adjust the loop to the aural null position.,hear the IDENT of NDBs using N0N A1A transmissions.,stop the loop rotation.,hear the IDENT of NDBs using N0N A2A transmissions.,2,,
RNAV,What actually happens in the ADF receiver when the BFO position is selected?,The BFO circuit imposes a tone onto the carrier wave to make the NDB's ident audible.,The BFO circuit is de-activated.,The BFO circuit oscillates at an increased frequency in order to allow identification of A2A NDBs.,"The BFO circuit is activated, and the receiver accepts only A1A modulated signals.",1,,
RNAV,An NDB transmits a signal pattern in the horizontal plane which is:,bi-lobal circular.,a cardioid balanced at 30 Hz.,omni-directional.,a beam rotating at 30 Hz.,3,,
RNAV,Night Effect in an ADF may cause:,Fluctuating indications of the needle on the RMI.,No bearing error because of the built-in compensator unit.,"Noise in the received EM-wave, which hardly will be noticed by the pilot looking at the RMI.",A constant error in the indicated bearing.,1,,
RNAV,Which one of the following disturbances is most likely to cause the greatest inaccuracy in ADF bearings?,Quadrantal error.,Local thunderstorm activity.,Precipitation interference.,Coastal effect.,2,,
RNAV,The quadrantal error of an ADF:,is caused by interference from the sky wave.,is caused by aircraft magnetism and varies with the deviation as shown on the deviation table.,is caused by the refraction from the aircraft's fuselage and is compensated for.,may be caused by the interference of VOR's within range of the ADF receiver and cannot be compensated for.,3,,
RNAV,Which of the following is likely to have the greatest effect on ADF accuracy?,Mutual interference between aircraft aerials.,"Interference from other NDBs, particularly at night.","Interference from other NDBs, particularly during the day.",Frequency drift at the ground station.,2,,
RNAV,"If a failed RMI rose is stuck on 090° and the ADF pointer indicates 225°, the relative bearing to the station will be:",225°.,"impossible to read, due to failure RMI.",135°.,315°.,3,,
RNAV,The Automatic Direction Finder (ADF) uses the following wavelengths:,decimetric.,hectometric or kilometric,metric.,centimetric.,2,,
RNAV,A cumulonimbus cloud in the vicinity of an aeroplane can cause certain navigation systems to give false indications. This is particularly true of the:,DME.,weather radar.,ADF.,VOR.,3,,
RNAV,Concerning ADF and NDB:,ADF is a civilian equipment whereas NDB is a military equipment used by civilians too.,"NDB is a ground equipment, and ADF is an airborne equipment.",NDB is a locator and ADF is an en route nav-aid.,ADF is an ground equipment and NDB can be a ground equipment or an airborne equipment.,2,,
RNAV,The BFO selector on an ADF receiver is used to:,hear the IDENT and must always be switched ON.,hear the IDENT of some NDB stations radiating a continuous wave signal.,stop loop rotation.,find the loop NULL position.,2,,
RNAV,A VOR and NDB are co-located. You cross the VOR radial of 240° on a magnetic heading of 360°. At the same time you should read an ADF bearing of:,060°,300°,240°,120°,1,,
RNAV,"There are two NDBs, one 20 NM inland, and the other 50 NM further inland from the coast. Assuming that the error caused by coastal refraction is the same for both propagations, the extent of the error in a position line plotted by an aircraft that is over water will be:",the same from both beacons when the aircraft is on a relative bearing of 090° and 270°.,smaller from the beacon that is 20 NM inland.,the same from both beacons when the aircraft is on a relative bearing of 180° and 360°.,smaller from the beacon that is 50 NM further inland.,2,,
RNAV,Which statement is correct for homing towards an NDB in an area with constant wind and constant magnetic variation?,The Relative Bearing of the NDB should be equal (in magnitude and sign) to the applied Wind Correction Angle.,The Relative Bearing of the NDB should be equal (in magnitude and sign) to the experienced Drift Angle.,The Relative Bearing of the NDB should be kept 000°.,The Relative Bearing of the NDB should be equal to the QDM.,3,,
